t[year], q[10^6 litres/day]
1980.000000, 31.500000
1981.000000, 32.400000
1982.000000, 33.400000
1983.000000, 34.100000
1984.000000, 32.900000
1985.000000, 34.700000
1986.000000, 35.000000
1987.000000, 36.700000
1988.000000, 37.600000
1989.000000, 37.100000
1990.000000, 36.700000
1991.000000, 36.000000
1992.000000, 35.200000
1993.000000, 35.100000
1994.000000, 34.900000
1995.000000, 29.500000
1996.000000, 32.300000
1997.000000, 34.000000
1998.000000, 35.400000
1999.000000, 36.300000
2000.000000, 18.400000
2001.000000, 18.800000
2002.000000, 19.300000
2003.000000, 19.100000
2004.000000, 19.500000
2005.000000, 18.800000
2006.000000, 18.500000
2007.000000, 19.000000
2008.000000, 19.100000
2009.000000, 19.200000
2010.000000, 18.800000
2011.000000, 19.500000
2012.000000, 18.400000
2013.000000, 18.600000
2014.000000, 19.200000
2015.000000, 18.100000
2016.000000, 19.100000
2017.000000, 17.000000
2018.000000, 40.000000
2019.000000, 40.000000
2020.000000, 40.000000
2021.000000, 40.000000
2022.000000, 40.000000
2023.000000, 40.000000
2024.000000, 40.000000
2025.000000, 40.000000
2026.000000, 40.000000
2027.000000, 40.000000
2028.000000, 40.000000
2029.000000, 40.000000
2030.000000, 40.000000
2031.000000, 40.000000
2032.000000, 40.000000
2033.000000, 40.000000
2034.000000, 40.000000
2035.000000, 40.000000
2036.000000, 40.000000
2037.000000, 40.000000
2038.000000, 40.000000
2039.000000, 40.000000
2040.000000, 40.000000
2041.000000, 40.000000
2042.000000, 40.000000
2043.000000, 40.000000
2044.000000, 40.000000
2045.000000, 40.000000
2046.000000, 40.000000
2047.000000, 40.000000
2048.000000, 40.000000
2049.000000, 40.000000
